num_plates,F,T,K,status,enum_time_sec,milp_time_sec,total_time_sec,pool_total,pool_sizes,zones_used,total_units,objective
1,40,3,1,no_count_vectors_for_plate:M,0.0,0.0,0.0,0,0,0,0,
1,40,3,5,no_count_vectors_for_plate:M,0.0,0.0,0.0,0,0,0,0,
1,40,4,1,Infeasible,0.003,0.051,0.054,110,110,0,0,
1,40,4,5,Infeasible,0.003,0.055,0.058,110,110,0,0,
1,40,5,1,Optimal,0.027,13.465,13.492,4362,4362,1,720,95999.99999900004
1,40,5,5,Optimal,0.027,99.58,99.607,4362,4362,5,690,-4.8281378894898795e-11
1,40,6,1,Not Solved,0.103,134.162,134.265,20416,20416,0,0,
1,40,6,5,Not Solved,0.102,139.606,139.708,20416,20416,0,0,
1,70,3,1,no_count_vectors_for_plate:M,0.0,0.0,0.0,0,0,0,0,
1,70,3,5,no_count_vectors_for_plate:M,0.0,0.0,0.0,0,0,0,0,
1,70,4,1,Infeasible,0.004,0.049,0.052,110,110,0,0,
1,70,4,5,Infeasible,0.003,0.055,0.058,110,110,0,0,
1,70,5,1,Optimal,0.026,13.47,13.496,4362,4362,1,1260,167999.99999699998
1,70,5,5,Optimal_TimeLimit,0.027,121.752,121.778,4362,4362,5,1226,1600.000000000047
1,70,6,1,Not Solved,0.113,133.86,133.973,20416,20416,0,0,
1,70,6,5,Not Solved,0.104,158.89,158.994,20416,20416,0,0,
2,40,3,2,no_count_vectors_for_plate:M,0.0,0.001,0.001,99,0;99,0,0,
2,40,3,6,no_count_vectors_for_plate:M,0.0,0.0,0.0,99,0;99,0,0,
2,40,4,2,Optimal,0.005,1.164,1.169,557,110;447,2,664,16000.0
2,40,4,6,Optimal,0.005,0.838,0.843,557,110;447,6,676,0.0
2,40,5,2,Optimal_TimeLimit,0.032,123.741,123.773,5521,4362;1159,2,610,35999.999999999985
2,40,5,6,Optimal_TimeLimit,0.032,122.329,122.361,5521,4362;1159,6,584,1600.0000000000323
2,40,6,2,Not Solved,0.113,143.419,143.532,22218,20416;1802,0,0,
2,40,6,6,Optimal_TimeLimit,0.113,152.304,152.416,22218,20416;1802,6,495,13000.000000050628
2,70,3,2,no_count_vectors_for_plate:M,0.0,0.0,0.0,99,0;99,0,0,
2,70,3,6,no_count_vectors_for_plate:M,0.001,0.0,0.0,99,0;99,0,0,
2,70,4,2,Optimal,0.005,1.876,1.881,557,110;447,2,1164,35999.999999999985
2,70,4,6,Optimal,0.005,2.673,2.677,557,110;447,6,1184,0.0
2,70,5,2,Optimal_TimeLimit,0.031,122.354,122.385,5521,4362;1159,2,1068,32800.000000000015
2,70,5,6,Optimal_TimeLimit,0.032,122.356,122.388,5521,4362;1159,6,1025,1999.9999960045045
2,70,6,2,Not Solved,0.113,152.585,152.698,22218,20416;1802,0,0,
2,70,6,6,Not Solved,0.112,198.501,198.613,22218,20416;1802,0,0,
3,40,3,3,no_count_vectors_for_plate:M,0.001,0.0,0.0,175,0;99;76,0,0,
3,40,3,7,no_count_vectors_for_plate:M,0.0,0.0,0.0,175,0;99;76,0,0,
3,40,4,3,Optimal,0.005,3.008,3.013,821,110;447;264,3,650,4999.999999999771
3,40,4,7,Optimal,0.006,10.309,10.315,821,110;447;264,7,652,0.0
3,40,5,3,Optimal_TimeLimit,0.035,123.27,123.305,6100,4362;1159;579,3,608,24400.0
3,40,5,7,Optimal_TimeLimit,0.035,122.66,122.695,6100,4362;1159;579,7,579,1600.0000000000048
3,40,6,3,Not Solved,0.131,157.935,158.066,23024,20416;1802;806,0,0,
3,40,6,7,Not Solved,0.119,176.069,176.188,23024,20416;1802;806,0,0,
3,70,3,3,no_count_vectors_for_plate:M,0.001,0.0,0.0,175,0;99;76,0,0,
3,70,3,7,no_count_vectors_for_plate:M,0.001,0.0,0.0,175,0;99;76,0,0,
3,70,4,3,Optimal,0.006,3.617,3.623,821,110;447;264,3,1152,8000.0
3,70,4,7,Optimal,0.006,1.606,1.612,821,110;447;264,7,1164,0.0
3,70,5,3,Not Solved,0.036,122.598,122.634,6100,4362;1159;579,0,0,
3,70,5,7,Optimal_TimeLimit,0.036,122.677,122.713,6100,4362;1159;579,7,1046,1600.0000000000382
3,70,6,3,Not Solved,0.119,160.467,160.586,23024,20416;1802;806,0,0,
3,70,6,7,Not Solved,0.119,194.527,194.646,23024,20416;1802;806,0,0,
4,40,3,4,no_count_vectors_for_plate:M,0.001,0.0,0.0,251,0;99;76;76,0,0,
4,40,3,8,no_count_vectors_for_plate:M,0.001,0.0,0.0,251,0;99;76;76,0,0,
4,40,4,4,Optimal,0.008,5.89,5.898,1085,110;447;264;264,4,656,3999.9999999999945
4,40,4,8,Optimal,0.007,1.082,1.089,1085,110;447;264;264,8,656,1.2834178164666846e-10
4,40,5,4,Not Solved,0.038,122.894,122.932,6679,4362;1159;579;579,0,0,
4,40,5,8,Optimal_TimeLimit,0.038,123.71,123.747,6679,4362;1159;579;579,8,574,3199.999999999944
4,40,6,4,Not Solved,0.125,176.636,176.761,23830,20416;1802;806;806,0,0,
4,40,6,8,Not Solved,0.124,163.37,163.494,23830,20416;1802;806;806,0,0,
4,70,3,4,no_count_vectors_for_plate:M,0.002,0.0,0.0,251,0;99;76;76,0,0,
4,70,3,8,no_count_vectors_for_plate:M,0.001,0.0,0.0,251,0;99;76;76,0,0,
4,70,4,4,Optimal,0.007,5.934,5.941,1085,110;447;264;264,4,1140,5999.999999999952
4,70,4,8,Optimal,0.007,2.061,2.068,1085,110;447;264;264,8,1144,0.0
4,70,5,4,Not Solved,0.037,122.916,122.953,6679,4362;1159;579;579,0,0,
4,70,5,8,Optimal,0.048,13.789,13.836,6679,4362;1159;579;579,7,1030,0.0
4,70,6,4,Not Solved,0.138,165.463,165.601,23830,20416;1802;806;806,0,0,
4,70,6,8,Not Solved,0.136,223.247,223.383,23830,20416;1802;806;806,0,0,
5,40,3,5,no_count_vectors_for_plate:M,0.002,0.0,0.0,327,0;99;76;76;76,0,0,
5,40,3,9,no_count_vectors_for_plate:M,0.001,0.0,0.0,327,0;99;76;76;76,0,0,
5,40,4,5,Optimal,0.009,19.905,19.913,1349,110;447;264;264;264,5,648,1999.999999979727
5,40,4,9,Optimal,0.009,5.069,5.078,1349,110;447;264;264;264,9,648,-1.3762730031397965e-11
5,40,5,5,Not Solved,0.04,123.3,123.34,7258,4362;1159;579;579;579,0,0,
5,40,5,9,Optimal_TimeLimit,0.041,123.266,123.306,7258,4362;1159;579;579;579,9,571,1599.9999999995769
5,40,6,5,Not Solved,0.129,171.547,171.676,24636,20416;1802;806;806;806,0,0,
5,40,6,9,Optimal_TimeLimit,0.13,138.235,138.365,24636,20416;1802;806;806;806,9,480,3999.9999999999986
5,70,3,5,no_count_vectors_for_plate:M,0.001,0.0,0.0,327,0;99;76;76;76,0,0,
5,70,3,9,no_count_vectors_for_plate:M,0.002,0.0,0.0,327,0;99;76;76;76,0,0,
5,70,4,5,Optimal,0.008,9.366,9.373,1349,110;447;264;264;264,5,1146,5999.999999999976
5,70,4,9,Optimal,0.008,6.186,6.193,1349,110;447;264;264;264,9,1144,0.0
5,70,5,5,Not Solved,0.041,123.301,123.342,7258,4362;1159;579;579;579,0,0,
5,70,5,9,Optimal,0.042,76.501,76.543,7258,4362;1159;579;579;579,7,1020,0.0
5,70,6,5,Not Solved,0.133,175.759,175.892,24636,20416;1802;806;806;806,0,0,
5,70,6,9,Not Solved,0.13,215.264,215.394,24636,20416;1802;806;806;806,0,0,
